module,family,selected_units,winner,svd_relative_error,swd_relative_error,svd_mean_active_edges,swd_mean_active_edges,swd_best_sparsity,swd_error_over_svd,svd_edges_over_swd
h.1.attn.q_proj,attention,12,svd_omp,0.3830491304397583,0.6268956661224365,18432,2947.2548828125,0.82,1.636593367025089,6.253955199969251
h.1.attn.q_proj,attention,16,svd_omp,0.3588389754295349,0.6066142320632935,24576,3614.306640625,0.82,1.690491483923028,6.799644425230678
h.1.attn.q_proj,attention,24,svd_omp,0.3233180046081543,0.5744190216064453,36864,4916.7353515625,0.82,1.7766379026822625,7.49765797101219
h.1.attn.q_proj,attention,32,svd_omp,0.29716676473617554,0.542607307434082,49152,15622.1728515625,0.45,1.8259353730751433,3.1462972831646727
h.1.attn.q_proj,attention,48,svd_omp,0.25845256447792053,0.48879823088645935,73728,22464.3515625,0.45,1.891249297037705,3.2819999186210653
h.1.attn.q_proj,attention,64,svd_omp,0.2295626848936081,0.4457865059375763,98304,29253.73046875,0.45,1.9418944596513068,3.3603919371928392
h.1.attn.k_proj,attention,1,svd_omp,0.3800346553325653,0.8866153955459595,1536,439.58154296875,0.82,2.3329856451383084,3.494232241022901
h.1.attn.k_proj,attention,2,svd_omp,0.3337048590183258,0.8001947999000549,3072,875.70068359375,0.82,2.3979117422923446,3.5080479638236124
h.1.attn.k_proj,attention,4,svd_omp,0.2972997725009918,0.683229386806488,6144,1668.49609375,0.82,2.298116076776375,3.6823580366862934
h.1.attn.k_proj,attention,8,svd_omp,0.26494836807250977,0.5942935943603516,12288,2643.22998046875,0.82,2.2430543682296173,4.648857682001945
h.1.attn.k_proj,attention,12,svd_omp,0.24547915160655975,0.5495769381523132,18432,3446.8017578125,0.82,2.2387927225410342,5.3475660322564655
h.1.attn.k_proj,attention,16,svd_omp,0.23127028346061707,0.5181540250778198,24576,4228.826171875,0.82,2.2404695377391888,5.811541785152961
h.1.attn.k_proj,attention,24,svd_omp,0.21017014980316162,0.47379761934280396,36864,5736.435546875,0.82,2.2543525795006905,6.426290280570163
h.1.attn.k_proj,attention,32,svd_omp,0.1941780000925064,0.4415664076805115,49152,7205.99658203125,0.82,2.274029022186598,6.820985749918975
h.1.attn.k_proj,attention,48,svd_omp,0.169885516166687,0.39409640431404114,73728,10093.19140625,0.82,2.3197763600245036,7.304726229044409
h.1.attn.k_proj,attention,64,svd_omp,0.151335209608078,0.3588435649871826,98304,12934.1806640625,0.82,2.3711835858720627,7.6003268048618455
h.1.attn.v_proj,attention,1,svd_omp,0.8964311480522156,0.9817295074462891,1536,549.556640625,0.45,1.0951532748269754,2.7949803286029575
h.1.attn.v_proj,attention,2,svd_omp,0.8519986271858215,0.9687896966934204,3072,1055.68115234375,0.45,1.1370789409524795,2.909969542583723
h.1.attn.v_proj,attention,4,svd_omp,0.7926415801048279,0.9480718970298767,6144,2376.12255859375,0.3,1.1960915511201078,2.5857252092401226
h.1.attn.v_proj,attention,8,svd_omp,0.7166175842285156,0.9147850871086121,12288,4622.31689453125,0.3,1.276531733579265,2.6584070889943017
h.1.attn.v_proj,attention,12,svd_omp,0.6666463613510132,0.8867648839950562,18432,6838.59912109375,0.3,1.3301878408185637,2.6952888557462376
h.1.attn.v_proj,attention,16,svd_omp,0.6285583972930908,0.8619053363800049,24576,9046.404296875,0.3,1.3712414631509673,2.716659480771776
h.1.attn.v_proj,attention,24,svd_omp,0.5705421566963196,0.8183625936508179,36864,13434.0205078125,0.3,1.4343595544095873,2.744077990543627
h.1.attn.v_proj,attention,32,svd_omp,0.5261749625205994,0.780389666557312,49152,17805.947265625,0.3,1.4831372112783878,2.7604260119813815
h.1.attn.v_proj,attention,48,svd_omp,0.4589943587779999,0.7154009938240051,73728,26515.3828125,0.3,1.5586269855879002,2.78057460159477
h.1.attn.v_proj,attention,64,svd_omp,0.4083840847015381,0.6604873538017273,98304,35189.1484375,0.3,1.6173190350560194,2.7935884886387425
h.1.attn.o_proj,attention,1,svd_omp,0.8359963297843933,0.9519584774971008,1536,474.58056640625,0.82,1.1387113119774277,3.2365421357880777
h.1.attn.o_proj,attention,2,svd_omp,0.7697177529335022,0.925656259059906,3072,872.4990234375,0.82,1.2025918013870673,3.5209208463028814
h.1.attn.o_proj,attention,4,svd_omp,0.7048034071922302,0.8929105401039124,6144,1584.53466796875,0.82,1.2668930527181421,3.8774790632231033
h.1.attn.o_proj,attention,8,svd_omp,0.6305164098739624,0.8522564172744751,12288,2913.0263671875,0.82,1.35167999425239,4.2182934347635
h.1.attn.o_proj,attention,12,svd_omp,0.5809710621833801,0.8229955434799194,18432,4200.5859375,0.82,1.416586121152013,4.387959269075185
