module,family,selected_units,svd_foba_relative_error,svd_relative_error,swd_relative_error,svd_error_over_foba,swd_error_over_foba,relative_error_reduction_vs_svd,fraction_inputs_improved,mean_accepted_swaps,swd_best_sparsity
h.2.attn.v_proj,attention,4,0.806031346321106,0.870189905166626,0.9599345922470093,1.0795980939678749,1.1909395293723373,0.07372937615638597,0.94970703125,1.5595703125,0.3
h.2.attn.v_proj,attention,8,0.7686475515365601,0.8173813819885254,0.9311258792877197,1.0634020499441446,1.2113820923859815,0.059621899306546045,0.962890625,1.6533203125,0.3
h.2.attn.v_proj,attention,12,0.7385921478271484,0.7783541083335876,0.9062473177909851,1.0538347999276925,1.2269928951411933,0.05108466709524706,0.97216796875,1.73388671875,0.3
h.2.attn.v_proj,attention,16,0.7124305367469788,0.7462174296379089,0.8838649392127991,1.0474248241031388,1.2406331475467138,0.045277544518525614,0.97216796875,1.767578125,0.3
h.2.attn.v_proj,attention,24,0.6675392389297485,0.6940576434135437,0.8441522717475891,1.039725611525566,1.2645732602940323,0.03820778394337854,0.97705078125,1.83056640625,0.3
h.2.attn.v_proj,attention,32,0.6295360922813416,0.65138840675354,0.8091699481010437,1.0347117738603502,1.285343220225447,0.033547287986147034,0.9765625,1.82373046875,0.3
h.2.attn.v_proj,attention,48,0.5662235617637634,0.5821846127510071,0.7484860420227051,1.0281886026387275,1.321891373949896,0.02741578983309545,0.970703125,1.7841796875,0.3
h.2.attn.v_proj,attention,64,0.5139808058738708,0.5263543725013733,0.6965332627296448,1.0240739858105496,1.3551736850277862,0.02350805326970118,0.96337890625,1.72021484375,0.3
h.2.attn.o_proj,attention,1,0.6669498682022095,0.6794012188911438,0.9545526504516602,1.0186690953586923,1.431220989704512,0.018326947822166484,0.5615234375,0.33740234375,0.82
h.2.attn.o_proj,attention,2,0.6302840113639832,0.6497992277145386,0.9201241731643677,1.0309625755987732,1.4598564402310445,0.03003268627941269,0.74755859375,0.8935546875,0.82
h.2.attn.o_proj,attention,4,0.6003408432006836,0.6162472367286682,0.8674482107162476,1.0264956044689224,1.4449261957448971,0.025811707671783313,0.7958984375,1.0419921875,0.82
h.2.attn.o_proj,attention,8,0.565337598323822,0.5766851902008057,0.7971134781837463,1.0200722398627444,1.4099778266068277,0.019677272920832878,0.76708984375,0.99755859375,0.82
h.2.attn.o_proj,attention,12,0.540413498878479,0.5488636493682861,0.7516268491744995,1.0156364533960454,1.3908365552199415,0.015395718954120619,0.705078125,0.85498046875,0.82
h.2.attn.o_proj,attention,16,0.5199461579322815,0.5264134407043457,0.7197308540344238,1.012438370153139,1.384241123920686,0.01228555783722185,0.662109375,0.7421875,0.82
h.2.attn.o_proj,attention,24,0.485859215259552,0.4901970624923706,0.67659991979599,1.0089281979153184,1.392584309499084,0.008849190590337619,0.61962890625,0.595703125,0.82
h.2.attn.o_proj,attention,32,0.45754098892211914,0.4607396125793457,0.6463292241096497,1.0069909007819429,1.4126149126710599,0.006942367380394776,0.5712890625,0.4970703125,0.82
h.2.attn.o_proj,attention,48,0.41130203008651733,0.4131181240081787,0.5885714888572693,1.004415475219705,1.4309958274056254,0.004396064505815311,0.54296875,0.3115234375,0.3
h.2.attn.o_proj,attention,64,0.37338289618492126,0.3744978606700897,0.5308290123939514,1.0029861155841917,1.4216746878814008,0.0029772252454886017,0.5087890625,0.22216796875,0.3
h.2.mlp.c_fc,mlp,1,0.6075414419174194,0.6630536317825317,0.9047468900680542,1.091371857185436,1.4891937037457812,0.08372202066954249,0.70849609375,0.6318359375,0.82
h.2.mlp.c_fc,mlp,2,0.5566262602806091,0.6057701706886292,0.8581097722053528,1.0882888823521286,1.5416264618431015,0.08112632940006614,0.74169921875,1.0947265625,0.82
h.2.mlp.c_fc,mlp,4,0.5196473598480225,0.5540111660957336,0.8082669377326965,1.0661290884990955,1.5554143062885657,0.06202728094793142,0.77294921875,1.158203125,0.82
h.2.mlp.c_fc,mlp,8,0.4808080792427063,0.5015954375267029,0.7592648267745972,1.04323421169781,1.5791432372984922,0.04144247879625096,0.68994140625,0.9873046875,0.76
h.2.mlp.c_fc,mlp,12,0.45571383833885193,0.4698411524295807,0.7324182391166687,1.0310004061808284,1.607188936343139,0.030068277369224572,0.603515625,0.7900390625,0.69
h.2.mlp.c_fc,mlp,16,0.43600380420684814,0.4462624490261078,0.7077096104621887,1.0235287965845197,1.6231730173767898,0.022987918525628537,0.54736328125,0.6279296875,0.58
h.2.mlp.c_fc,mlp,24,0.4052179157733917,0.4116533100605011,0.6680386066436768,1.0158813172779562,1.648590994227563,0.01563304394701348,0.49072265625,0.44140625,0.58
h.2.mlp.c_fc,mlp,32,0.3814219534397125,0.3859294056892395,0.6326048970222473,1.0118174955816732,1.6585434879071184,0.011679473455714073,0.439453125,0.3173828125,0.45
h.2.mlp.c_fc,mlp,48,0.34493929147720337,0.3475896120071411,0.574145495891571,1.0076834405224981,1.664482736752869,0.007624855399543162,0.40234375,0.21240234375,0.3
h.2.mlp.c_fc,mlp,64,0.3169810175895691,0.3185458779335022,0.5257729291915894,1.004936763582352,1.658689006646974,0.004912511673623943,0.3779296875,0.13671875,0.3
h.2.mlp.down_proj,mlp,1,0.8247541785240173,0.8702996969223022,0.9111116528511047,1.0552231435550812,1.1047069255006783,0.052333142892443285,0.82763671875,0.72705078125,0.58
h.2.mlp.down_proj,mlp,2,0.7535319328308105,0.8006854057312012,0.881769061088562,1.0625766086955972,1.1701814119223855,0.05889138550905537,0.890625,1.23779296875,0.58
h.2.mlp.down_proj,mlp,4,0.7253109812736511,0.7638209462165833,0.8505364060401917,1.053094418721344,1.1726506670926777,0.050417529309300324,0.9296875,1.47216796875,0.3
h.2.mlp.down_proj,mlp,8,0.6922420859336853,0.7208589315414429,0.8211112022399902,1.0413393611703912,1.1861619206993004,0.039698260444058,0.9462890625,1.59912109375,0.3
h.2.mlp.down_proj,mlp,12,0.667838990688324,0.6910487413406372,0.8005321025848389,1.034753512412313,1.1986902737735508,0.033586271508556975,0.947265625,1.63232421875,0.3
h.2.mlp.down_proj,mlp,16,0.6474878191947937,0.6671239137649536,0.7833846211433411,1.030326585285541,1.2098831791423452,0.0294339539701739,0.94580078125,1.64501953125,0.3
h.2.mlp.down_proj,mlp,24,0.6136989593505859,0.6288245320320129,0.7545439004898071,1.024646567263912,1.2295016782955976,0.024053725500418288,0.939453125,1.64208984375,0.3
h.2.mlp.down_proj,mlp,32,0.5854876637458801,0.5979022979736328,0.7294673323631287,1.0212039211011301,1.2459140944082132,0.020763650298430858,0.93310546875,1.626953125,0.3
h.2.mlp.down_proj,mlp,48,0.5390703678131104,0.5482089519500732,0.6856563687324524,1.016952488362579,1.2719236850543447,0.016669892208902026,0.90869140625,1.54736328125,0.3
h.2.mlp.down_proj,mlp,64,0.5009218454360962,0.5080111622810364,0.6472996473312378,1.0141525407796266,1.2922168462581363,0.013955041485915864,0.8740234375,1.4560546875,0.3
h.3.attn.q_proj,attention,1,0.5950304865837097,0.6370335221290588,0.888193666934967,1.0705897201780434,1.492685983258464,0.06593536146256296,0.75146484375,0.5029296875,0.82
h.3.attn.q_proj,attention,2,0.5372735857963562,0.5776402950286865,0.8517776727676392,1.0751325028802563,1.58537046168968,0.06988208679300267,0.8125,0.9580078125,0.82
h.3.attn.q_proj,attention,4,0.49841073155403137,0.5269129276275635,0.8090697526931763,1.0571861604678194,1.6232992218496547,0.054092800876728964,0.83740234375,1.09130859375,0.82
h.3.attn.q_proj,attention,8,0.4579353630542755,0.474852591753006,0.7629022002220154,1.0369423941970723,1.6659604428313053,0.0356262743271073,0.75146484375,0.91162109375,0.82
h.3.attn.q_proj,attention,12,0.4313167929649353,0.44159194827079773,0.7311636805534363,1.023822757364093,1.6951894581412172,0.023268438987844475,0.6455078125,0.62841796875,0.82
h.3.attn.q_proj,attention,16,0.40950238704681396,0.41666969656944275,0.7057429552078247,1.0175024853318118,1.7234159739516848,0.017201417769612815,0.59326171875,0.48876953125,0.82
h.3.attn.q_proj,attention,24,0.37521764636039734,0.3794242739677429,0.6651586294174194,1.0112111667672077,1.7727274712941756,0.011086870018503947,0.52392578125,0.306640625,0.82
h.3.attn.q_proj,attention,32,0.3483901619911194,0.35123610496520996,0.632641077041626,1.0081688385166374,1.8158982257878804,0.008102649283086905,0.50390625,0.234375,0.82
h.3.attn.q_proj,attention,48,0.3072027564048767,0.30874720215797424,0.5654251575469971,1.0050274475762258,1.8405601699803666,0.005002298781341841,0.48583984375,0.14697265625,0.3
h.3.attn.q_proj,attention,64,0.2756252586841583,0.2764692008495331,0.5052593350410461,1.0030619188147116,1.8331387241255264,0.0030525720868056494,0.453125,0.0849609375,0.3
h.3.attn.k_proj,attention,1,0.5356523394584656,0.5846037864685059,0.8895505666732788,1.0913866017266523,1.6606864212944494,0.08373439950799466,0.712890625,0.61279296875,0.82
h.3.attn.k_proj,attention,2,0.4823881983757019,0.5295902490615845,0.8218520879745483,1.0978507576363215,1.703715162895547,0.08912938025109596,0.77685546875,1.11669921875,0.82
h.3.attn.k_proj,attention,4,0.4505571722984314,0.48182475566864014,0.7744784355163574,1.0693975932304065,1.7189348724946572,0.06489409894852316,0.740234375,1.064453125,0.82
h.3.attn.k_proj,attention,8,0.41465482115745544,0.43120115995407104,0.7296673655509949,1.0399038862020913,1.7596982558027965,0.03837266763934033,0.56689453125,0.736328125,0.82
h.3.attn.k_proj,attention,12,0.38936948776245117,0.39986252784729004,0.699562132358551,1.0269487990575177,1.7966537038601853,0.026241618941713396,0.482421875,0.54150390625,0.82
h.3.attn.k_proj,attention,16,0.3695286214351654,0.37671154737472534,0.6752510666847229,1.019438077385354,1.8273308954045313,0.01906744295367957,0.4072265625,0.39599609375,0.82
h.3.attn.k_proj,attention,24,0.3382672965526581,0.34250083565711975,0.6359362006187439,1.0125153662432236,1.8799813257139615,0.012360667956734295,0.3505859375,0.25341796875,0.82
h.3.attn.k_proj,attention,32,0.31419822573661804,0.3169132173061371,0.6038946509361267,1.008641014961666,1.9220180175121409,0.008566987494549205,0.31005859375,0.16650390625,0.82
h.3.attn.k_proj,attention,48,0.27697232365608215,0.27846992015838623,0.5404606461524963,1.0054070258087,1.9513164312532139,0.005377947109879155,0.3037109375,0.11474609375,0.45
h.3.attn.k_proj,attention,64,0.2484176754951477,0.2492331564426422,0.4793619215488434,1.003282700982807,1.9296610862869403,0.0032719601161179668,0.2744140625,0.06640625,0.3
h.3.attn.v_proj,attention,1,0.9016358256340027,0.9558926820755005,0.9790167808532715,1.0601760210707534,1.0858228488922974,0.05676040570128804,0.8837890625,0.8974609375,0.82
h.3.attn.v_proj,attention,2,0.8689092397689819,0.9259666800498962,0.9706200957298279,1.065665592756367,1.1170557882292609,0.06161932336252074,0.904296875,1.47412109375,0.82
